angle,image
3,./data_train_simple/sample0.jpg
-7,./data_train_simple/sample1.jpg
2,./data_train_simple/sample2.jpg
3,./data_train_simple/sample3.jpg
-10,./data_train_simple/sample4.jpg
5,./data_train_simple/sample5.jpg
-8,./data_train_simple/sample6.jpg
3,./data_train_simple/sample7.jpg
-7,./data_train_simple/sample8.jpg
-1,./data_train_simple/sample9.jpg
-7,./data_train_simple/sample10.jpg
9,./data_train_simple/sample11.jpg
-3,./data_train_simple/sample12.jpg
1,./data_train_simple/sample13.jpg
-5,./data_train_simple/sample14.jpg
-8,./data_train_simple/sample15.jpg
4,./data_train_simple/sample16.jpg
6,./data_train_simple/sample17.jpg
3,./data_train_simple/sample18.jpg
-9,./data_train_simple/sample19.jpg
5,./data_train_simple/sample20.jpg
-2,./data_train_simple/sample21.jpg
-2,./data_train_simple/sample22.jpg
1,./data_train_simple/sample23.jpg
5,./data_train_simple/sample24.jpg
-5,./data_train_simple/sample25.jpg
10,./data_train_simple/sample26.jpg
-3,./data_train_simple/sample27.jpg
5,./data_train_simple/sample28.jpg
0,./data_train_simple/sample29.jpg
-6,./data_train_simple/sample30.jpg
5,./data_train_simple/sample31.jpg
-4,./data_train_simple/sample32.jpg
3,./data_train_simple/sample33.jpg
-6,./data_train_simple/sample34.jpg
-5,./data_train_simple/sample35.jpg
-4,./data_train_simple/sample36.jpg
7,./data_train_simple/sample37.jpg
-2,./data_train_simple/sample38.jpg
6,./data_train_simple/sample39.jpg
0,./data_train_simple/sample40.jpg
-7,./data_train_simple/sample41.jpg
7,./data_train_simple/sample42.jpg
-9,./data_train_simple/sample43.jpg
3,./data_train_simple/sample44.jpg
8,./data_train_simple/sample45.jpg
-2,./data_train_simple/sample46.jpg
1,./data_train_simple/sample47.jpg
0,./data_train_simple/sample48.jpg
5,./data_train_simple/sample49.jpg
6,./data_train_simple/sample50.jpg
-9,./data_train_simple/sample51.jpg
-1,./data_train_simple/sample52.jpg
-7,./data_train_simple/sample53.jpg
-3,./data_train_simple/sample54.jpg
-4,./data_train_simple/sample55.jpg
1,./data_train_simple/sample56.jpg
8,./data_train_simple/sample57.jpg
-8,./data_train_simple/sample58.jpg
2,./data_train_simple/sample59.jpg
-2,./data_train_simple/sample60.jpg
0,./data_train_simple/sample61.jpg
-9,./data_train_simple/sample62.jpg
-8,./data_train_simple/sample63.jpg
-8,./data_train_simple/sample64.jpg
0,./data_train_simple/sample65.jpg
1,./data_train_simple/sample66.jpg
-6,./data_train_simple/sample67.jpg
1,./data_train_simple/sample68.jpg
0,./data_train_simple/sample69.jpg
5,./data_train_simple/sample70.jpg
